pergunta;ids_esperados;categoria
O que diz o art. 186?;RES6-2026-ART186;endereco_direto
Qual é a definição de operações com bens para fins do Regulamento?;RES6-2026-ART002;definicoes
Como funciona o split payment no recolhimento do IBS?;RES6-2026-ART028|RES6-2026-ART029|RES6-2026-ART030|RES6-2026-ART031;split_payment
Quais são as regras do cashback do IBS?;RES6-2026-ART491|RES6-2026-ART492|RES6-2026-ART493;cashback
O que estabelece o regime do Reporto?;RES6-2026-ART186;regimes_especificos
O que estabelece o regime do Reidi?;RES6-2026-ART187;regimes_especificos
Quais as regras do IBS para o nanoempreendedor?;RES6-2026-ART025|RES6-2026-ART105|RES6-2026-ART115;regimes_diferenciados
Como o Regulamento trata as operações da Zona Franca de Manaus?;RES6-2026-ART432|RES6-2026-ART433|RES6-2026-ART434|RES6-2026-ART435;zfm
Qual o tratamento das devoluções de bens no IBS?;RES6-2026-ART096|RES6-2026-ART097;creditamento
Quais as obrigações das plataformas digitais no recolhimento do IBS?;RES6-2026-ART020|RES6-2026-ART021;plataformas_digitais
Como é definido o período de apuração do IBS?;RES6-2026-ART039|RES6-2026-ART040;apuracao
O que a NCM/SH representa para fins do Regulamento?;RES6-2026-ART003;definicoes
